customer_id,customer_name,segment,region
1,SMBCust-0001,SMB,AMER
2,MidMarketCust-0002,Mid-Market,EMEA
3,EnterpriseCust-0003,Enterprise,EMEA
4,SMBCust-0004,SMB,EMEA
5,EnterpriseCust-0005,Enterprise,APAC
6,SMBCust-0006,SMB,EMEA
7,SMBCust-0007,SMB,APAC
8,MidMarketCust-0008,Mid-Market,EMEA
9,MidMarketCust-0009,Mid-Market,APAC
10,EnterpriseCust-0010,Enterprise,EMEA
11,MidMarketCust-0011,Mid-Market,EMEA
12,MidMarketCust-0012,Mid-Market,APAC
13,SMBCust-0013,SMB,AMER
14,MidMarketCust-0014,Mid-Market,APAC
15,EnterpriseCust-0015,Enterprise,AMER
16,MidMarketCust-0016,Mid-Market,APAC
17,SMBCust-0017,SMB,APAC
18,MidMarketCust-0018,Mid-Market,AMER
19,SMBCust-0019,SMB,EMEA
20,MidMarketCust-0020,Mid-Market,EMEA
21,EnterpriseCust-0021,Enterprise,EMEA
22,EnterpriseCust-0022,Enterprise,EMEA
23,MidMarketCust-0023,Mid-Market,AMER
24,SMBCust-0024,SMB,AMER
25,MidMarketCust-0025,Mid-Market,APAC
26,EnterpriseCust-0026,Enterprise,APAC
27,MidMarketCust-0027,Mid-Market,AMER
28,MidMarketCust-0028,Mid-Market,APAC
29,SMBCust-0029,SMB,EMEA
30,MidMarketCust-0030,Mid-Market,APAC
31,EnterpriseCust-0031,Enterprise,APAC
32,EnterpriseCust-0032,Enterprise,AMER
33,EnterpriseCust-0033,Enterprise,AMER
34,MidMarketCust-0034,Mid-Market,EMEA
35,SMBCust-0035,SMB,AMER
36,EnterpriseCust-0036,Enterprise,APAC
37,EnterpriseCust-0037,Enterprise,EMEA
38,EnterpriseCust-0038,Enterprise,AMER
39,EnterpriseCust-0039,Enterprise,AMER
40,MidMarketCust-0040,Mid-Market,AMER
41,SMBCust-0041,SMB,AMER
42,SMBCust-0042,SMB,EMEA
43,MidMarketCust-0043,Mid-Market,AMER
44,MidMarketCust-0044,Mid-Market,AMER
45,MidMarketCust-0045,Mid-Market,AMER
46,EnterpriseCust-0046,Enterprise,EMEA
47,MidMarketCust-0047,Mid-Market,EMEA
48,MidMarketCust-0048,Mid-Market,EMEA
49,MidMarketCust-0049,Mid-Market,EMEA
50,MidMarketCust-0050,Mid-Market,EMEA
51,EnterpriseCust-0051,Enterprise,APAC
52,EnterpriseCust-0052,Enterprise,EMEA
53,MidMarketCust-0053,Mid-Market,APAC
54,MidMarketCust-0054,Mid-Market,AMER
55,MidMarketCust-0055,Mid-Market,AMER
56,SMBCust-0056,SMB,AMER
57,SMBCust-0057,SMB,EMEA
58,SMBCust-0058,SMB,AMER
59,MidMarketCust-0059,Mid-Market,EMEA
60,EnterpriseCust-0060,Enterprise,AMER
61,MidMarketCust-0061,Mid-Market,APAC
62,SMBCust-0062,SMB,EMEA
63,MidMarketCust-0063,Mid-Market,APAC
64,EnterpriseCust-0064,Enterprise,APAC
65,MidMarketCust-0065,Mid-Market,AMER
66,MidMarketCust-0066,Mid-Market,EMEA
67,EnterpriseCust-0067,Enterprise,AMER
68,SMBCust-0068,SMB,EMEA
69,MidMarketCust-0069,Mid-Market,EMEA
70,SMBCust-0070,SMB,EMEA
71,SMBCust-0071,SMB,APAC
72,MidMarketCust-0072,Mid-Market,AMER
73,EnterpriseCust-0073,Enterprise,EMEA
74,MidMarketCust-0074,Mid-Market,AMER
75,SMBCust-0075,SMB,EMEA
76,SMBCust-0076,SMB,AMER
77,SMBCust-0077,SMB,AMER
78,EnterpriseCust-0078,Enterprise,EMEA
79,EnterpriseCust-0079,Enterprise,AMER
80,MidMarketCust-0080,Mid-Market,EMEA
81,SMBCust-0081,SMB,AMER
82,EnterpriseCust-0082,Enterprise,EMEA
83,SMBCust-0083,SMB,AMER
84,MidMarketCust-0084,Mid-Market,EMEA
85,SMBCust-0085,SMB,AMER
86,SMBCust-0086,SMB,APAC
87,SMBCust-0087,SMB,AMER
88,EnterpriseCust-0088,Enterprise,AMER
89,MidMarketCust-0089,Mid-Market,AMER
90,EnterpriseCust-0090,Enterprise,EMEA
91,EnterpriseCust-0091,Enterprise,EMEA
92,MidMarketCust-0092,Mid-Market,APAC
93,EnterpriseCust-0093,Enterprise,EMEA
94,EnterpriseCust-0094,Enterprise,APAC
95,SMBCust-0095,SMB,EMEA
96,MidMarketCust-0096,Mid-Market,APAC
97,SMBCust-0097,SMB,AMER
98,EnterpriseCust-0098,Enterprise,AMER
99,SMBCust-0099,SMB,EMEA
100,EnterpriseCust-0100,Enterprise,AMER
