part_id,plant_id,quantity_on_hand,as_of_date
41,2,133,2026-09-24
39,2,195,2026-09-24
149,3,24,2026-09-24
175,3,109,2026-09-24
197,3,65,2026-09-24
12,3,32,2026-09-24
178,5,88,2026-09-24
172,5,160,2026-09-24
49,1,41,2026-09-24
36,1,45,2026-09-24
33,1,41,2026-09-24
89,2,103,2026-09-24
178,2,47,2026-09-24
19,8,72,2026-09-24
50,8,138,2026-09-24
101,8,109,2026-09-24
29,8,164,2026-09-24
38,2,166,2026-09-24
123,2,29,2026-09-24
174,2,99,2026-09-24
188,2,158,2026-09-24
194,2,132,2026-09-24
4,2,21,2026-09-24
2,4,64,2026-09-24
66,4,36,2026-09-24
55,9,50,2026-09-24
181,9,197,2026-09-24
86,9,64,2026-09-24
110,9,133,2026-09-24
2,9,133,2026-09-24
128,9,135,2026-09-24
190,3,164,2026-09-24
37,4,55,2026-09-24
109,4,79,2026-09-24
145,4,236,2026-09-24
5,4,18,2026-09-24
119,4,31,2026-09-24
7,4,80,2026-09-24
185,4,105,2026-09-24
112,9,177,2026-09-24
47,2,47,2026-09-24
194,3,36,2026-09-24
176,3,55,2026-09-24
60,3,43,2026-09-24
87,1,297,2026-09-24
107,1,183,2026-09-24
38,8,64,2026-09-24
47,7,83,2026-09-24
117,7,91,2026-09-24
200,7,120,2026-09-24
14,7,198,2026-09-24
170,5,67,2026-09-24
21,1,45,2026-09-24
75,9,115,2026-09-24
83,8,31,2026-09-24
36,8,156,2026-09-24
190,8,4,2026-09-24
113,2,159,2026-09-24
40,2,290,2026-09-24
161,2,20,2026-09-24
66,2,132,2026-09-24
88,2,72,2026-09-24
112,2,47,2026-09-24
117,1,126,2026-09-24
40,1,98,2026-09-24
140,1,52,2026-09-24
165,2,67,2026-09-24
88,1,87,2026-09-24
109,3,24,2026-09-24
9,3,195,2026-09-24
86,3,185,2026-09-24
121,9,195,2026-09-24
148,9,229,2026-09-24
45,2,151,2026-09-24
93,2,100,2026-09-24
61,2,88,2026-09-24
96,2,43,2026-09-24
143,1,164,2026-09-24
6,1,85,2026-09-24
134,1,233,2026-09-24
94,1,93,2026-09-24
44,1,77,2026-09-24
11,1,32,2026-09-24
123,1,169,2026-09-24
120,1,343,2026-09-24
106,1,52,2026-09-24
22,1,28,2026-09-24
172,1,176,2026-09-24
14,1,70,2026-09-24
84,1,45,2026-09-24
74,1,48,2026-09-24
145,1,226,2026-09-24
21,10,4,2026-09-24
121,5,55,2026-09-24
94,5,32,2026-09-24
160,5,93,2026-09-24
155,5,46,2026-09-24
122,5,80,2026-09-24
99,2,134,2026-09-24
170,2,106,2026-09-24
175,5,283,2026-09-24
59,1,52,2026-09-24
114,1,261,2026-09-24
109,1,179,2026-09-24
197,4,39,2026-09-24
136,4,27,2026-09-24
82,4,49,2026-09-24
88,4,196,2026-09-24
55,1,24,2026-09-24
129,1,234,2026-09-24
54,7,192,2026-09-24
67,7,22,2026-09-24
133,8,57,2026-09-24
96,8,68,2026-09-24
178,8,37,2026-09-24
137,8,129,2026-09-24
169,7,39,2026-09-24
11,10,319,2026-09-24
40,10,13,2026-09-24
38,10,31,2026-09-24
169,10,126,2026-09-24
108,10,122,2026-09-24
27,5,46,2026-09-24
184,5,120,2026-09-24
157,5,23,2026-09-24
37,5,65,2026-09-24
117,9,18,2026-09-24
27,9,142,2026-09-24
68,10,120,2026-09-24
13,5,138,2026-09-24
70,5,157,2026-09-24
159,6,20,2026-09-24
129,6,200,2026-09-24
133,6,105,2026-09-24
167,6,194,2026-09-24
2,7,56,2026-09-24
30,7,151,2026-09-24
1,5,117,2026-09-24
177,5,112,2026-09-24
179,10,184,2026-09-24
155,8,15,2026-09-24
7,8,16,2026-09-24
185,3,108,2026-09-24
172,3,136,2026-09-24
62,6,11,2026-09-24
16,6,74,2026-09-24
120,6,57,2026-09-24
116,9,84,2026-09-24
163,9,39,2026-09-24
77,9,249,2026-09-24
106,3,99,2026-09-24
91,3,88,2026-09-24
108,3,65,2026-09-24
4,9,109,2026-09-24
126,9,130,2026-09-24
140,9,31,2026-09-24
89,9,85,2026-09-24
160,9,14,2026-09-24
131,9,56,2026-09-24
85,9,102,2026-09-24
132,9,149,2026-09-24
134,10,183,2026-09-24
181,10,201,2026-09-24
139,10,77,2026-09-24
98,10,29,2026-09-24
111,10,38,2026-09-24
115,6,73,2026-09-24
10,6,68,2026-09-24
85,6,29,2026-09-24
40,6,169,2026-09-24
12,6,93,2026-09-24
63,6,26,2026-09-24
21,6,51,2026-09-24
172,6,107,2026-09-24
139,3,56,2026-09-24
180,3,103,2026-09-24
185,8,33,2026-09-24
63,8,48,2026-09-24
39,8,63,2026-09-24
2,8,27,2026-09-24
130,8,116,2026-09-24
124,8,87,2026-09-24
115,8,144,2026-09-24
34,1,150,2026-09-24
116,1,67,2026-09-24
128,1,147,2026-09-24
165,1,165,2026-09-24
183,1,214,2026-09-24
197,1,131,2026-09-24
6,10,117,2026-09-24
80,10,154,2026-09-24
182,10,31,2026-09-24
42,10,85,2026-09-24
66,10,75,2026-09-24
10,5,180,2026-09-24
76,5,16,2026-09-24
150,5,99,2026-09-24
108,5,167,2026-09-24
98,2,31,2026-09-24
172,2,31,2026-09-24
111,2,261,2026-09-24
42,8,102,2026-09-24
73,8,27,2026-09-24
140,8,26,2026-09-24
85,8,195,2026-09-24
91,8,6,2026-09-24
153,5,85,2026-09-24
83,5,30,2026-09-24
53,5,134,2026-09-24
130,9,91,2026-09-24
14,10,193,2026-09-24
83,10,85,2026-09-24
141,10,51,2026-09-24
51,7,11,2026-09-24
84,7,75,2026-09-24
104,7,78,2026-09-24
118,7,34,2026-09-24
149,10,120,2026-09-24
95,4,118,2026-09-24
74,10,168,2026-09-24
20,10,216,2026-09-24
144,10,76,2026-09-24
172,7,36,2026-09-24
199,7,26,2026-09-24
136,7,139,2026-09-24
166,7,53,2026-09-24
53,9,19,2026-09-24
99,10,24,2026-09-24
196,10,45,2026-09-24
15,5,247,2026-09-24
45,1,68,2026-09-24
186,1,47,2026-09-24
24,1,66,2026-09-24
148,1,182,2026-09-24
65,1,9,2026-09-24
46,1,102,2026-09-24
123,5,173,2026-09-24
156,5,213,2026-09-24
3,8,176,2026-09-24
23,8,46,2026-09-24
187,1,58,2026-09-24
60,1,111,2026-09-24
68,1,54,2026-09-24
75,3,102,2026-09-24
33,3,68,2026-09-24
30,3,14,2026-09-24
24,10,50,2026-09-24
75,10,90,2026-09-24
140,10,206,2026-09-24
106,9,35,2026-09-24
78,9,72,2026-09-24
10,3,222,2026-09-24
132,3,42,2026-09-24
40,3,66,2026-09-24
18,3,129,2026-09-24
183,4,247,2026-09-24
179,4,4,2026-09-24
18,4,48,2026-09-24
124,4,76,2026-09-24
22,4,100,2026-09-24
3,4,198,2026-09-24
168,4,84,2026-09-24
8,7,13,2026-09-24
127,7,136,2026-09-24
117,8,71,2026-09-24
89,8,66,2026-09-24
193,8,304,2026-09-24
7,1,73,2026-09-24
187,8,207,2026-09-24
20,8,48,2026-09-24
24,8,42,2026-09-24
49,8,144,2026-09-24
195,8,179,2026-09-24
147,8,79,2026-09-24
157,8,111,2026-09-24
98,8,94,2026-09-24
198,8,39,2026-09-24
53,8,41,2026-09-24
3,10,58,2026-09-24
7,10,70,2026-09-24
8,8,135,2026-09-24
135,5,115,2026-09-24
142,5,12,2026-09-24
50,5,108,2026-09-24
84,10,3,2026-09-24
178,10,64,2026-09-24
148,7,50,2026-09-24
43,6,25,2026-09-24
200,6,31,2026-09-24
193,6,30,2026-09-24
61,6,35,2026-09-24
113,7,53,2026-09-24
94,7,61,2026-09-24
183,5,27,2026-09-24
69,5,20,2026-09-24
32,6,43,2026-09-24
67,6,52,2026-09-24
29,5,51,2026-09-24
19,3,27,2026-09-24
97,8,241,2026-09-24
192,1,47,2026-09-24
45,3,94,2026-09-24
102,3,51,2026-09-24
129,3,278,2026-09-24
64,3,93,2026-09-24
87,3,71,2026-09-24
146,3,122,2026-09-24
154,8,32,2026-09-24
106,8,46,2026-09-24
165,8,133,2026-09-24
197,5,30,2026-09-24
114,5,71,2026-09-24
191,5,54,2026-09-24
54,5,28,2026-09-24
8,2,186,2026-09-24
9,2,234,2026-09-24
199,2,96,2026-09-24
5,2,311,2026-09-24
62,2,107,2026-09-24
71,2,223,2026-09-24
136,2,9,2026-09-24
32,3,42,2026-09-24
79,3,47,2026-09-24
47,3,52,2026-09-24
153,3,13,2026-09-24
129,8,138,2026-09-24
18,2,198,2026-09-24
166,2,238,2026-09-24
115,2,73,2026-09-24
105,8,28,2026-09-24
183,8,105,2026-09-24
