po_line_id,po_id,part_id,ordered_qty,unit_price
1,1,41,14,157.86
2,1,39,39,49.25
3,2,149,221,451.8
4,3,175,344,305.44
5,3,197,29,386.94
6,3,12,82,118.44
7,4,178,416,413.05
8,4,172,190,70.27
9,5,49,15,454.15
10,5,36,46,304.59
11,5,33,11,341.76
12,6,89,149,58.52
13,6,178,11,458.18
14,7,19,147,467.99
15,7,50,860,32.62
16,8,101,660,28.8
17,8,29,29,174.21
18,9,38,918,445.59
19,9,123,453,769.86
20,9,174,27,328.35
21,9,188,230,238.71
22,9,194,263,177.51
23,9,4,46,657.56
24,10,2,43,715.95
25,10,66,54,484.38
26,11,55,99,88.49
27,11,181,1172,231.35
28,11,86,15,338.35
29,11,110,136,573.46
30,11,2,550,599.33
31,11,128,911,378.13
32,12,190,744,247.4
33,13,37,29,531.07
34,13,109,11,412.56
35,13,145,59,533.5
36,13,5,127,398.07
37,14,119,15,629.66
38,14,7,11,606.84
39,14,185,709,241.67
40,15,112,195,337.28
41,16,47,287,489.92
42,17,194,247,205.8
43,17,176,12,444.11
44,17,60,128,73.21
45,18,87,10,461.0
46,19,107,14,672.12
47,20,38,147,520.33
48,21,47,39,476.25
49,21,117,124,236.84
50,21,200,129,63.97
51,21,14,11,581.0
52,22,170,266,244.67
53,23,21,18,218.48
54,24,75,46,221.84
55,25,83,50,146.35
56,25,36,183,312.3
57,25,190,11,272.81
58,26,113,17,590.95
59,26,40,193,51.46
60,26,178,105,477.53
61,26,161,9,281.46
62,26,66,553,552.3
63,26,88,97,742.01
64,27,112,6,393.25
65,28,117,33,235.84
66,28,40,1099,56.26
67,28,140,28,145.93
68,29,165,878,60.35
69,30,88,27,585.88
70,31,109,123,415.84
71,31,9,102,503.01
72,31,86,670,401.73
73,32,121,868,141.2
74,32,148,108,358.41
75,33,45,1262,341.56
76,34,93,593,139.05
77,34,61,129,473.14
78,34,96,117,565.91
79,35,143,50,570.71
80,35,6,50,672.69
81,35,134,593,167.63
82,36,94,302,634.06
83,36,44,133,280.82
84,36,11,14,242.99
85,36,123,175,666.78
86,36,120,95,464.82
87,37,106,6,69.71
88,37,22,285,75.17
89,37,172,55,66.37
90,37,14,247,546.03
91,37,84,10,288.37
92,38,74,66,275.98
93,38,145,365,584.44
94,39,21,15,190.25
95,40,121,57,174.1
96,40,94,582,631.89
97,40,160,365,83.05
98,40,155,55,274.48
99,40,122,125,201.6
100,41,89,590,74.78
101,41,39,58,48.0
102,41,99,29,206.38
103,41,170,64,204.96
104,42,175,14,410.44
105,42,94,19,603.65
106,43,59,1252,698.47
107,43,114,1283,362.55
108,43,109,103,464.51
109,44,197,127,401.87
110,44,2,80,683.21
111,44,136,863,319.87
112,44,82,445,396.15
113,44,88,39,705.66
114,45,55,67,94.09
115,45,87,428,490.76
116,45,129,26,681.16
117,46,54,63,613.86
118,46,47,124,407.4
119,46,67,6,221.37
120,47,133,46,217.94
121,47,96,222,575.1
122,47,178,411,429.04
123,47,19,12,483.17
124,47,137,182,316.34
125,48,169,597,50.17
126,48,117,718,236.56
127,49,11,33,218.29
128,49,40,116,49.32
129,49,38,68,491.58
130,49,169,664,48.97
131,49,108,1384,283.05
132,50,27,14,215.08
133,50,184,147,263.47
134,50,157,520,597.42
135,50,37,50,529.27
136,51,117,122,266.21
137,51,27,487,214.44
138,52,68,58,411.95
139,53,13,65,251.48
140,53,70,18,539.76
141,54,159,191,326.47
142,54,129,192,649.69
143,54,133,39,224.41
144,54,167,126,525.48
145,55,2,285,572.39
146,55,30,298,330.5
147,56,1,73,297.68
148,56,177,477,466.22
149,57,179,142,212.97
150,58,155,7,235.46
151,58,7,157,626.04
152,59,109,45,489.52
153,59,185,15,250.13
154,59,172,902,81.31
155,60,62,12,430.5
156,60,16,51,561.15
157,60,120,12,444.81
158,61,116,15,465.07
159,61,163,146,512.54
160,61,77,608,144.94
161,62,106,574,56.85
162,63,91,27,308.85
163,63,108,6,245.08
164,64,4,686,699.86
165,64,126,252,423.29
166,64,140,92,129.37
167,65,89,88,65.55
168,65,160,60,75.08
169,65,131,286,457.31
170,65,85,1051,561.86
171,65,132,32,686.01
172,66,134,108,191.85
173,66,181,1452,188.09
174,66,139,284,213.29
175,66,98,810,376.03
176,66,111,30,743.66
177,67,115,27,280.2
178,67,10,208,671.75
179,67,85,59,600.44
180,67,40,668,60.54
181,67,12,7,130.39
182,67,63,102,654.33
183,67,21,26,243.06
184,67,172,490,73.43
185,68,139,639,184.98
186,68,180,21,434.2
187,69,185,145,238.24
188,69,63,15,474.28
189,69,39,23,49.09
190,69,2,15,678.1
191,69,130,1370,27.47
192,69,124,602,659.07
193,69,115,70,280.81
194,70,34,6,87.15
195,70,116,52,547.8
196,70,128,72,511.59
197,70,165,962,74.47
198,70,183,662,264.11
199,70,197,66,402.08
200,71,6,13,772.72
201,71,80,42,81.62
202,71,182,102,629.85
203,71,42,592,50.29
204,71,66,950,645.02
205,72,10,6,595.13
206,72,76,207,95.98
207,73,150,642,339.64
208,73,108,1145,259.64
209,74,88,102,783.99
210,74,98,51,423.53
211,75,172,125,68.89
212,75,111,339,745.29
213,76,42,193,46.14
214,76,73,5,225.93
215,76,140,15,142.69
216,76,155,54,261.55
217,76,85,779,495.67
218,76,91,27,273.21
219,77,153,6,531.3
220,77,83,7,200.02
221,77,53,202,164.5
222,78,130,14,24.31
223,78,128,145,425.91
224,79,14,1498,548.17
225,79,83,258,152.27
226,79,141,718,387.96
227,80,51,6,550.22
228,80,84,67,368.0
229,80,104,15,82.64
230,80,118,55,525.5
231,81,179,699,211.27
232,81,149,84,487.7
233,82,95,70,94.25
234,82,7,443,685.02
235,82,88,291,594.83
236,83,74,22,290.91
237,83,20,406,462.22
238,83,144,698,505.85
239,84,117,133,253.99
240,84,172,115,66.12
241,84,199,11,649.08
242,84,136,8,388.18
243,84,166,80,39.44
244,85,53,13,163.03
245,86,99,276,219.39
246,86,196,10,52.84
247,87,15,26,631.97
248,88,45,746,416.16
249,88,186,25,609.81
250,88,24,140,228.1
251,88,44,16,364.33
252,89,148,1217,440.87
253,89,65,9,469.53
254,89,24,17,214.31
255,89,46,214,161.66
256,90,123,29,746.36
257,90,156,368,573.26
258,91,3,280,346.58
259,91,23,614,681.67
260,92,187,433,479.42
261,92,60,22,74.97
262,92,68,119,518.65
263,92,129,105,567.37
264,93,75,616,192.52
265,93,33,22,359.81
266,93,30,352,246.44
267,94,24,272,213.54
268,94,75,22,261.5
269,95,140,514,118.17
270,96,106,860,54.93
271,96,78,1072,710.14
272,97,10,14,578.62
273,97,132,245,638.5
274,97,40,9,49.64
275,97,18,931,2.06
276,97,172,99,88.45
277,98,183,24,335.01
278,98,179,11,250.08
279,98,18,1263,1.72
280,98,124,66,561.34
281,98,22,24,96.23
282,98,3,13,464.51
283,98,168,73,499.18
284,99,8,8,509.75
285,99,127,891,276.4
286,100,117,327,250.02
287,100,89,480,62.67
288,100,193,877,456.13
289,101,7,696,670.59
290,102,187,736,589.62
291,102,20,555,466.64
292,102,24,628,242.06
293,103,49,9,511.22
294,103,195,5,249.2
295,103,147,45,69.56
296,103,157,1468,587.54
297,103,98,149,397.78
298,103,198,748,228.07
299,103,53,5,134.85
300,104,134,199,191.18
301,104,3,58,408.55
302,104,7,15,608.82
303,105,8,84,512.29
304,105,193,79,474.82
305,106,135,275,107.91
306,106,142,84,723.44
307,106,50,1078,31.61
308,107,84,24,344.01
309,107,139,62,196.44
310,107,178,613,490.48
311,108,148,128,459.28
312,109,133,100,227.93
313,109,43,21,648.12
314,109,200,138,63.05
315,109,193,13,386.25
316,109,61,5,582.47
317,110,113,162,634.33
318,110,94,773,540.29
319,111,183,9,295.2
320,111,69,6,324.6
321,112,86,70,393.42
322,113,10,51,502.53
323,113,32,6,583.71
324,113,67,65,184.06
325,114,29,406,153.06
326,115,18,104,1.61
327,115,19,44,429.1
328,116,97,6,89.12
329,117,192,833,496.95
330,117,6,385,772.81
331,118,45,101,340.71
332,118,190,1443,279.54
333,118,102,20,545.24
334,118,129,65,591.25
335,118,64,1177,507.47
336,119,87,59,583.71
337,119,146,5,603.38
338,120,24,13,228.27
339,120,154,29,60.18
340,120,106,194,56.51
341,120,165,24,72.35
342,121,197,130,332.99
343,121,114,58,393.13
344,121,191,165,163.77
345,121,54,52,714.86
346,122,8,1216,518.76
347,123,93,123,144.62
348,123,9,1193,513.66
349,124,199,376,562.06
350,124,5,1246,465.12
351,124,62,53,483.48
352,124,71,26,189.77
353,124,136,61,351.05
354,125,32,39,578.91
355,125,79,108,190.37
356,125,47,585,504.11
357,125,153,488,493.54
358,125,91,67,247.24
359,126,129,6,756.23
360,126,2,694,732.25
361,127,18,15,1.82
362,127,166,642,44.99
363,127,115,54,287.06
364,128,105,146,405.39
365,128,183,70,297.46
366,128,55,122,92.72
367,129,12,51,135.79
368,129,14,6,690.6
369,129,24,57,198.29
370,130,20,370,478.69
371,130,189,1499,684.12
372,131,144,711,533.03
373,131,73,603,211.87
374,131,24,745,224.04
375,132,139,67,208.51
376,132,52,121,641.65
377,132,164,496,551.48
378,132,55,12,74.46
379,133,84,77,333.59
380,134,25,212,249.87
381,134,22,742,97.79
382,134,88,1488,673.69
383,135,134,1095,144.87
384,136,1,6,295.84
385,136,125,8,581.68
386,136,187,44,585.56
387,136,148,15,445.24
388,137,195,86,226.23
389,137,148,634,447.45
390,138,188,283,253.7
391,138,198,836,229.51
392,138,172,20,81.71
393,139,75,1471,227.55
394,139,144,6,583.99
395,139,173,11,383.99
396,140,25,12,232.89
397,141,8,18,518.46
398,141,141,112,381.79
399,141,42,91,36.62
400,141,194,186,209.15
401,142,141,48,381.89
402,142,56,126,507.64
403,142,147,30,73.34
404,142,166,13,37.96
405,143,121,746,165.79
406,143,3,10,402.35
407,143,194,458,197.26
408,143,192,935,577.25
409,143,152,145,561.62
410,143,6,1341,724.85
411,143,115,11,354.47
412,143,12,147,133.53
413,144,173,122,410.53
414,144,178,909,500.35
415,144,112,182,324.34
416,145,74,769,240.86
417,145,173,47,395.45
418,146,174,13,290.74
419,146,71,121,193.58
420,147,123,25,772.82
421,147,148,7,377.07
422,148,39,7,62.28
423,149,58,13,429.82
424,149,15,726,608.86
425,150,96,72,457.69
426,151,195,758,262.4
427,151,9,441,527.42
428,151,119,101,526.16
429,151,193,15,408.24
430,151,199,87,532.87
431,152,52,537,664.95
432,152,124,12,632.55
433,152,195,1380,233.82
434,153,105,93,413.56
435,153,154,31,63.39
436,153,54,60,580.1
437,153,50,1020,34.83
438,153,35,1333,241.05
439,154,46,1080,131.67
440,154,48,26,722.25
441,154,87,1267,568.18
442,155,2,23,596.8
443,155,140,7,135.07
444,155,178,35,430.71
445,155,150,697,320.31
446,155,80,519,96.54
447,156,72,113,377.89
448,156,94,17,550.44
449,157,4,19,636.82
450,157,69,1211,349.41
451,157,119,1435,629.53
452,158,108,443,239.5
453,158,147,564,62.91
454,159,92,1191,172.3
455,159,79,117,206.79
456,159,78,19,708.51
457,159,187,79,525.92
458,160,162,735,466.01
459,160,116,102,490.18
460,160,51,15,602.58
461,161,143,1072,486.36
462,161,55,111,90.45
463,161,163,586,641.29
464,162,21,7,184.84
465,162,178,175,484.52
466,162,96,460,517.51
467,163,21,614,187.15
468,163,175,9,345.6
469,164,167,537,477.7
470,164,135,30,120.7
471,164,104,59,67.73
472,164,164,215,479.74
473,164,172,13,78.27
474,165,23,167,582.23
475,165,188,970,202.49
476,165,1,8,310.72
477,165,60,74,74.77
478,166,147,73,69.7
479,166,174,167,298.96
480,167,143,170,585.67
481,168,93,1163,154.06
482,168,112,10,380.69
483,169,14,676,543.42
484,169,39,25,61.75
485,170,98,17,358.24
486,170,172,961,81.67
487,170,97,686,98.68
488,170,57,16,494.87
489,170,175,53,364.56
490,170,191,9,149.2
491,171,149,8,517.33
492,171,32,122,575.13
493,171,9,471,644.4
494,171,155,327,238.02
495,172,115,595,331.33
496,172,199,171,580.16
497,172,197,30,423.78
498,172,143,558,590.62
499,172,147,262,60.75
500,173,107,71,647.49
501,174,94,5,525.69
502,174,164,131,508.32
503,174,144,94,586.68
504,175,127,730,294.99
505,175,55,127,98.31
506,176,183,106,279.76
507,176,84,84,392.41
508,176,34,138,93.54
509,176,129,62,643.66
510,177,193,30,390.8
511,177,139,764,175.35
512,177,129,903,617.12
513,178,11,25,179.86
514,178,102,11,704.19
515,179,173,130,465.08
516,179,100,15,367.22
517,179,72,1375,312.48
518,180,153,7,403.48
519,180,85,44,616.68
520,180,46,190,126.87
521,181,54,112,627.63
522,181,85,14,573.75
523,181,80,7,84.83
524,182,118,707,437.66
525,182,111,691,652.86
526,183,30,838,330.62
527,184,148,120,461.26
528,184,175,258,377.47
529,185,180,281,342.68
530,185,18,1329,1.61
531,185,164,220,430.48
532,186,140,608,133.06
533,186,107,13,597.76
534,187,1,526,312.72
535,187,197,1355,328.36
536,188,28,27,509.82
537,188,8,966,583.34
538,188,18,14,1.88
539,189,168,159,553.14
540,189,24,123,237.73
541,190,186,42,586.11
542,190,96,656,600.48
543,190,10,27,614.7
544,191,21,1160,183.6
545,191,129,10,686.49
546,191,111,290,690.4
547,192,42,1448,48.42
548,192,193,727,470.1
549,193,5,29,426.15
550,193,126,640,539.54
551,193,180,54,358.33
552,193,26,11,612.2
553,193,154,1272,57.89
554,193,109,276,499.5
555,193,22,20,93.19
556,194,121,44,176.36
557,194,127,52,311.36
558,194,93,6,183.05
559,194,134,28,184.34
560,194,143,316,453.41
561,195,16,299,479.84
562,195,100,9,402.66
563,196,29,11,143.88
564,197,139,615,230.68
565,197,21,573,194.28
566,197,32,557,554.36
567,198,16,43,562.53
568,198,47,254,479.48
569,199,16,784,527.75
570,199,110,186,670.82
571,199,39,240,62.66
572,199,57,605,416.48
573,199,30,241,297.77
574,200,104,43,68.82
575,200,141,6,426.28
576,200,13,717,235.7
577,201,104,14,81.79
578,201,71,513,153.12
579,201,199,1307,674.93
580,202,180,8,442.85
581,202,20,268,396.86
582,202,178,165,438.01
583,202,157,26,588.88
584,202,128,236,498.15
585,203,129,133,697.29
586,203,9,76,538.98
587,204,57,523,547.92
588,204,176,231,498.06
589,204,159,22,260.33
590,205,171,258,613.48
591,205,159,143,326.81
592,206,111,67,707.27
593,206,46,517,149.12
594,207,155,11,244.76
595,207,22,1467,87.98
596,207,154,296,60.68
597,207,89,149,72.73
598,208,133,281,196.76
599,208,82,1462,380.42
600,209,115,13,302.77
601,209,100,1219,390.58
602,209,22,13,82.59
603,210,70,283,560.86
604,210,103,457,699.05
605,210,141,9,377.85
606,211,191,7,174.79
607,211,126,1435,570.35
608,211,176,12,571.84
609,211,76,32,74.79
610,212,39,1243,59.74
611,212,88,10,735.26
612,213,159,138,276.75
613,213,80,9,97.64
614,213,154,64,52.62
615,214,188,35,196.45
616,214,59,310,599.04
617,215,5,58,429.55
